rank,gene,DEI_tpc,tpc_t_excess_edits,cum_frac_burden,frac_genes
39,TRPM2,0.00016994141509851096,46.25176535745604,0.044881364508237015,0.0020738062320536
40,MNX1,0.0008471610895228273,46.0,0.045720234027535805,0.002126980750824205
41,ZNF641,0.0006417679311355107,46.0,0.04655910354683459,0.00218015526959481
42,MAN1B1,0.0004212029923725632,46.0,0.04739797306613337,0.002233329788365415
43,MUC4,9.111534746305953e-05,45.93161111751816,0.04823559542567188,0.0022865043071360206
44,NAV1,0.00014589517335284843,45.58874018860467,0.049066965090181706,0.0023396788259066256
45,SLC25A43,0.0008015776928300847,45.130427261719426,0.049889976825459696,0.0023928533446772307
46,KIF20B,0.00028995032184485727,45.0,0.05071061005086068,0.0024460278634478357
47,SNX19,0.0003909101724372319,44.08684924747101,0.05151459079076555,0.0024992023822184408
48,ANK3,9.670527381086248e-05,43.0,0.05229875142837094,0.0025523769009890463
49,PAQR4,0.0018892794376098418,43.0,0.053082912065976325,0.0026055514197596513
50,ABCB6,0.0004046252721260626,42.75998950773804,0.053862695801706266,0.0026587259385302564
51,SRRM3,0.0005958968247212054,42.0,0.05462862014541385,0.0027119004573008614
52,TONSL,0.0002317104184916217,41.0,0.05537630819522364,0.0027650749760714665
53,ZFAT,0.00029717466622211267,41.0,0.056123996245033426,0.0028182494948420715
54,KPNA1,0.0008197704642700044,41.0,0.05687168429484321,0.002871424013612677
55,TRRAP,9.97530860023488e-05,40.46454007759478,0.057609607540137525,0.002924598532383282
56,SRRT,0.0003311450166814302,40.0,0.05833905929604952,0.002977773051153887
57,NBR1,0.0003202459488887466,40.0,0.0590685110519615,0.003030947569924492
58,RAD23A,0.0006833168198435204,40.0,0.05979796280787349,0.003084122088695097
59,XAB2,0.0003751007734028179,39.14176570458404,0.0605117635509411,0.0031372966074657022
60,KIRREL1,0.00035722791140747797,39.0,0.06122297901295529,0.0031904711262363077
61,KCNH4,0.00029546797581708257,39.0,0.06193419447496948,0.0032436456450069128
62,ZSWIM2,0.0008386375365559952,39.0,0.06264540993698367,0.003296820163777518
63,EXOSC7,0.0009686553077343401,39.0,0.06335662539899785,0.003349994682548123
64,OBSCN,1.3238651199029868e-05,38.877271804979856,0.06406560275357812,0.003403169201318728
65,SPTY2D1,0.00045115021672024753,38.4226593571966,0.064766289661951,0.0034563437200893334
66,CLIP1,0.00016583553361051426,38.364392345456366,0.06546591399597324,0.0035095182388599384
67,ZNF678,0.0003090145331901405,38.3499396270292,0.06616527476597461,0.0035626927576305435
68,USH2A,6.216865353167693e-05,38.2278158998958,0.06686240845179608,0.0036158672764011485
69,COL8A2,0.0004990151017728169,38.0,0.06755538761991248,0.0036690417951717536
70,ASB16,0.0008175383490028183,38.0,0.06824836678802887,0.0037222163139423586
71,DSCAML1,0.00017396326224087676,37.492736241416,0.06893209534516001,0.003775390832712964
72,SORT1,0.00029475229942966055,37.35955920041005,0.06961339524663093,0.003828565351483569
73,FCGR2C,0.0009795611076802407,37.24487243621811,0.07029260368656386,0.003881739870254174
74,SRPK3,0.0003662982550509496,37.015171269408555,0.07096762322851019,0.00393491438902478
75,AOC2,0.0003882069037876403,37.0,0.07164236610272878,0.003988088907795385
76,COX5B,0.0032026313511641998,37.0,0.07231710897694738,0.00404126342656599
77,TMEM120A,0.0005993941259375658,37.0,0.07299185185116595,0.004094437945336595
78,ELOA2,0.0005250262513125656,36.0,0.07364835843148675,0.0041476124641072
79,DOCK10,0.00018297982647413124,36.0,0.07430486501180754,0.004200786982877805
80,AP3B1,0.00037763162035434435,36.0,0.07496137159212832,0.00425396150164841
81,SCN8A,0.00015668455482000863,36.0,0.07561787817244911,0.004307136020419015
82,EP300,0.0001048682156090513,36.0,0.07627438475276989,0.00436031053918962
83,NHLRC1,0.0006627881287281833,36.0,0.07693089133309068,0.004413485057960225
84,ATRNL1,0.00040254497881047957,36.0,0.07758739791341147,0.00446665957673083
85,ATP11A,0.00038190208454887814,36.0,0.07824390449373227,0.004519834095501436
86,HMGCS2,0.0005395421096866439,35.78890721973447,0.07889656152407241,0.004573008614272041
87,BSN,5.0916177555610336e-05,35.596008890902745,0.0795457008037956,0.004626183133042646
88,EPHB3,0.0004247779018398951,35.0,0.08018397109021859,0.004679357651813251
89,MET,0.0002440163700124797,35.0,0.08082224137664158,0.004732532170583856
90,MGA,0.00014600367094944102,35.0,0.08146051166306457,0.004785706689354461
91,BLVRA,0.0008441260883197067,35.0,0.08209878194948757,0.004838881208125066
92,EEF1G,0.0007172131147540983,35.0,0.08273705223591055,0.0048920557268956714
93,DDX3X,0.0005862155598358596,35.0,0.08337532252233354,0.0049452302456662765
94,BABAM2,0.000610319633110712,35.0,0.08401359280875653,0.0049984047644368815
95,TASOR2,0.00012824082894871832,35.0,0.08465186309517952,0.005051579283207487
96,ARID5B,0.00026523992846100216,35.0,0.0852901333816025,0.0051047538019780925
97,WDR93,0.0002818353115488058,35.0,0.0859284036680255,0.0051579283207486976
98,APOBR,0.00018471037419203227,34.781887012230634,0.0865626963819006,0.005211102839519303
99,MUC5AC,0.00012164515442940663,34.61352046711551,0.08719391871397643,0.005264277358289908
100,BRPF3,0.00022351434946952563,34.436855822769814,0.08782191933767661,0.005317451877060513
101,TACR1,0.0007552605866781378,34.396077638495754,0.08844917631842375,0.005370626395831118
102,G3BP2,0.0007234504330063622,34.0,0.08906921031094894,0.005423800914601723
103,IQGAP1,0.0001318683023507464,34.0,0.08968924430347414,0.005476975433372328
104,FAM122A,0.0011379991297653714,34.0,0.09030927829599932,0.005530149952142933
105,ZFHX3,8.537318457232236e-05,33.82178229290952,0.09092606225804022,0.005583324470913538
106,CHRNA4,0.00041810527463066933,33.56298281570235,0.09153812667675416,0.005636498989684143
107,AHI1,0.0002457826442345511,33.53999119753531,0.09214977181356203,0.005689673508454749
108,EPHB4,0.0002275474106639033,33.50931433659839,0.092760857518118,0.005742848027225354
109,CACNA1E,0.00010038190203159604,33.052146590531436,0.09336360617729608,0.005796022545995959
110,DOCK8,0.00015280128577113976,33.04450045829514,0.09396621539935954,0.005849197064766564
111,ANO3,0.00040283694869322137,33.0,0.09456801309798692,0.005902371583537169
112,SLC12A6,0.0004582505936428145,33.0,0.09516981079661431,0.005955546102307774
113,SSRP1,0.00032954522758593143,33.0,0.0957716084952417,0.006008720621078379
114,CYP2C18,0.0006700643667891734,33.0,0.0963734061938691,0.006061895139848984
115,CCNE1,0.0005328424723890719,33.0,0.09697520389249648,0.006115069658619589
116,EIF3B,0.0002959190078642718,33.0,0.09757700159112387,0.006168244177390194
117,CDKL5,0.00033119561617438956,33.0,0.09817879928975126,0.006221418696160799
118,DDB2,0.000601959103263348,33.0,0.09878059698837865,0.0062745932149314045
119,PSMB1,0.0011441250910099504,33.0,0.09938239468700605,0.00632776773370201
120,SEC13,0.0005196768554825909,33.0,0.09998419238563343,0.006380942252472615
121,FCGR2A,0.0006390374988882884,32.98583761761567,0.10058573181489336,0.0064341167712432205
122,EP400,7.439654629829861e-05,32.88580294642213,0.10118544698248944,0.0064872912900138255
123,DOCK3,0.00010215787486306603,32.599292973928414,0.10177993727002248,0.006540465808784431
124,GOLGA6L2,0.0003309800185104325,32.51845583863148,0.10237295338779838,0.006593640327555036
125,SVOPL,0.00036350596298857974,32.35348472983555,0.10296296104394963,0.006646814846325641
126,ZNF831,0.0001506395928670116,32.312192669973996,0.10355221568596161,0.006699989365096246
127,RBL1,0.00033548169783276764,32.30420364771287,0.10414132463781567,0.006753163883866851
128,PKD1L1,0.00010783535613006214,32.08619454578773,0.10472645791161463,0.006806338402637456
129,FGD5,0.00011155438739665685,32.08047606436838,0.10531148690150578,0.006859512921408061
130,GUCY2F,0.00018043010025147445,32.0,0.10589504830623538,0.006912687440178667
131,FUT8,0.0005794372215985224,32.0,0.10647860971096497,0.006965861958949272
132,SLC25A53,0.00046033892453318755,32.0,0.10706217111569455,0.007019036477719877
133,CLDN2,0.0007165088108192831,32.0,0.10764573252042414,0.007072210996490482
134,ANKDD1B,0.0005815855475991422,32.0,0.10822929392515374,0.007125385515261087
135,UGT2B17,0.0008173690932311622,32.0,0.10881285532988333,0.007178560034031692
136,PTBP3,0.0005445696198223341,32.0,0.10939641673461291,0.007231734552802297
137,PLEC,4.894640220998013e-05,31.971838869961232,0.10997946458469862,0.007284909071572902
138,CSMD2,5.8255519010706697e-05,31.75234540334272,0.11055850968741843,0.007338083590343507
139,FCGR2B,0.0007624662671361943,31.52188041594454,0.1111333519628949,0.007391258109114112
140,NUGGC,0.0004344862429962561,31.133980714382723,0.11170112038541082,0.007444432627884717
141,KIAA0895,0.0005054457705602295,31.0,0.11226644549624261,0.007497607146655323
142,WIZ,0.0001313826540991388,31.0,0.11283177060707439,0.007550781665425928
143,MAP3K21,0.00014735731296316543,31.0,0.11339709571790618,0.007603956184196533
144,CENPF,6.05863981581735e-05,31.0,0.11396242082873798,0.007657130702967138
145,MYO5C,0.0002289597104767532,31.0,0.11452774593956977,0.007710305221737743
146,NUDCD2,0.0017871555401821745,31.0,0.11509307105040156,0.007763479740508348
147,TNFRSF8,0.0006630448731659324,31.0,0.11565839616123334,0.007816654259278953
148,CIDEC,0.0006935278194143045,31.0,0.11622372127206514,0.00786982877804956
149,AKAP9,7.893660419013727e-05,30.986090355213243,0.11678879272252658,0.007923003296820164
150,CAMSAP2,0.00015120823452261528,30.90998730111302,0.11735247633532694,0.00797617781559077
151,SPAG5,0.00018195900453981493,30.734513497815602,0.117912959956279,0.008029352334361374
152,RYR2,3.289091438265396e-05,30.691268701485214,0.11847265495241563,0.00808252685313198
153,ABCA13,7.360931686399235e-05,30.68595757699368,0.11903225309332512,0.008135701371902584
154,KLHL1,0.00020991131827799295,30.524044436076068,0.11958889853861089,0.00818887589067319
155,NLRC3,0.00019556863766103524,30.48993288590604,0.12014492191564247,0.008242050409443794
156,ZDBF2,0.00012002310637569666,30.385889771815997,0.12069904793186746,0.0082952249282144
157,LCP1,0.0004787055801113788,30.0,0.12124613674880146,0.008348399446985004
158,WDR89,0.0007638446849140675,30.0,0.12179322556573544,0.00840157396575561
159,GAS2L1,0.0002783886862837894,30.0,0.12234031438266943,0.008454748484526216
160,ODF4,0.000827335153470671,30.0,0.12288740319960342,0.00850792300329682
161,SETMAR,0.00036906270375336767,30.0,0.12343449201653742,0.008561097522067426
162,MAPK10,0.0007100349765809245,29.884662129314535,0.12397947749816403,0.00861427204083803
163,USP35,0.00020461785674622467,29.700281906714505,0.12452110056786238,0.008667446559608636
164,DDX17,0.00023834401605620756,29.690514080121773,0.12506254550860424,0.00872062107837924
165,DHX32,0.00036185181208703407,29.54990453046346,0.1256014262522737,0.008773795597149846
166,PRSS3,0.0005047941745594444,29.54005030104413,0.12614012729131932,0.00882697011592045
167,NOTCH2,9.572416050581378e-05,29.425032594524122,0.1266767308336654,0.008880144634691056
168,SOGA1,0.00013156612286190235,29.41015953842679,0.1272130631465893,0.00893331915346166
169,IGFN1,4.77190410051341e-05,29.212403927317965,0.12774578913006912,0.008986493672232266
170,TEP1,8.975595757334214e-05,29.107498017204563,0.1282766020185405,0.009039668191002872
171,USP42,0.00018564871422261202,29.0,0.12880545454157669,0.009092842709773476
172,RBM28,0.0003048556140738171,29.0,0.12933430706461285,0.009146017228544082
173,BORA,0.0002449158840618877,29.0,0.12986315958764905,0.009199191747314686
174,ERMN,0.0008777771051516435,29.0,0.13039201211068524,0.009252366266085292
175,NHLRC2,0.0005012704613416763,29.0,0.13092086463372143,0.009305540784855897
176,MYH3,0.00013604293327328679,29.0,0.13144971715675763,0.009358715303626503
177,SUSD1,0.0003874984967730729,29.0,0.13197856967979382,0.009411889822397107
178,SHKBP1,0.00033746043567305903,29.0,0.13250742220283002,0.009465064341167713
179,MACO1,0.0006698078344419808,29.0,0.1330362747258662,0.009518238859938317
180,TSPYL2,0.00031557756134718975,29.0,0.1335651272489024,0.009571413378708923
181,CLRN3,0.0014621451228490178,28.82326680672269,0.13409075681348448,0.009624587897479529
182,IGF2R,8.165017345542921e-05,28.693503955706937,0.13461401998457842,0.009677762416250133
183,DNAH1,3.42267907612304e-05,28.68478880117197,0.13513712422355292,0.009730936935020739
184,CHD6,8.318982726583238e-05,28.681190366786495,0.13566016284042037,0.009784111453791343
185,GON4L,6.952713284461687e-05,28.64497015058362,0.1361825409347801,0.009837285972561949
186,SBF2,0.00015047703249493842,28.63698310004674,0.1367047733749389,0.009890460491332553
187,HIKESHI,0.0014288630332720963,28.0,0.13721538960407728,0.009943635010103159
188,ZMYM3,0.000130709800900964,28.0,0.13772600583321568,0.009996809528873763
189,WARS2,0.0006542820422946606,28.0,0.13823662206235407,0.010049984047644369
190,AP4B1,0.00027407450911297744,28.0,0.13874723829149246,0.010103158566414973
191,FAM184A,0.00020300152251141883,28.0,0.13925785452063086,0.010156333085185579
192,PLK1,0.00039705611253704675,28.0,0.13976847074976922,0.010209507603956185
193,BBS12,0.00043466786717791885,28.0,0.14027908697890762,0.01026268212272679
194,CXCR5,0.00065899409258867,28.0,0.140789703208046,0.010315856641497395
195,COIL,0.00032251747929552967,28.0,0.1413003194371844,0.010369031160268
196,BRINP3,0.0003418010473760666,28.0,0.1418109356663228,0.010422205679038605
197,ZNF544,0.0002544644885718181,28.0,0.1423215518954612,0.01047538019780921
198,COL4A4,0.0001609944859388566,28.0,0.1428321681245996,0.010528554716579815
199,MAP7D3,0.00026798133962986057,27.887478108581433,0.14334073237145614,0.01058172923535042
200,MYOC,0.0003478502294165212,27.83984526112186,0.14384842797170722,0.010634903754121025
201,TAF5L,0.00019121952878956537,27.797774119667906,0.14435535635025815,0.01068807827289163
202,NFE2L2,0.0004067010983475175,27.422228257179714,0.1448554361640886,0.010741252791662236
203,FBXO42,0.00043987553151626725,27.0,0.1453478160993292,0.010794427310432841
204,CXCL16,0.0007667405009371273,27.0,0.1458401960345698,0.010847601829203446
205,TMEM260,0.0004769138375666796,27.0,0.1463325759698104,0.010900776347974052
206,PABPC4,0.0003588373669311431,27.0,0.14682495590505099,0.010953950866744656
207,ACOD1,0.00023589438920826853,27.0,0.14731733584029158,0.011007125385515262
208,OR5W2,0.0009695141656791985,27.0,0.14780971577553217,0.011060299904285866
209,SPAG17,9.77467562557924e-05,27.0,0.14830209571077277,0.011113474423056472
210,HAPLN3,0.0004710890881808982,27.0,0.14879447564601336,0.011166648941827076
211,CSMD1,0.00014591281979226337,27.0,0.14928685558125396,0.011219823460597682
212,PDXK,0.00050415460741294,27.0,0.14977923551649455,0.011272997979368286
213,PKP1,0.00024279920505741753,27.0,0.15027161545173515,0.011326172498138892
214,SUGT1,0.0008181570255446804,27.0,0.15076399538697574,0.011379347016909498
215,DHX57,0.00018646268355684367,26.976861668953475,0.15125595336481107,0.011432521535680102
216,TECPR2,0.00015212736445453274,26.851848972505117,0.151745631574373,0.011485696054450708
217,REST,0.00020740002664699277,26.825534246575344,0.15223482990085901,0.011538870573221312
218,SACS,0.00010326924460490614,26.818919554649522,0.15272390759987906,0.011592045091991918
219,SMARCD1,0.00041339004790210635,26.458203235878514,0.15320640717009626,0.011645219610762522
220,TAOK2,7.705595647532844e-05,26.291646461295016,0.1536858693620215,0.011698394129533128
221,ANKRD11,7.073114864769035e-05,26.26311207322525,0.1541648111924597,0.011751568648303732
222,OR11H12,0.0010702372293503693,26.25934065934066,0.15464368424628588,0.011804743167074338
223,TASOR,0.0001254486275784022,26.200698561514777,0.15512148788558133,0.011857917685844942
224,ARID1B,9.18867774204983e-05,26.1961851483647,0.1555992092169481,0.011911092204615548
225,HMCN2,4.800707892649056e-05,26.128860854399946,0.15607570280270364,0.011964266723386153
226,KIAA0753,0.0002968902583673909,26.044104134762634,0.15655065074001004,0.012017441242156758
227,TRMT44,0.0002752463237742273,26.020961710644123,0.15702517664526877,0.012070615760927364
228,ZNF280C,0.000280662363177098,26.0,0.15749932028661157,0.012123790279697969
229,PCDHA11,0.00030359999532923086,26.0,0.15797346392795436,0.012176964798468574
230,CCDC87,0.00019548872180451127,26.0,0.15844760756929713,0.012230139317239179
231,ZNF281,0.0001952362358453729,26.0,0.15892175121063992,0.012283313836009785
232,CCDC110,0.0004755285682932182,26.0,0.15939589485198272,0.012336488354780389
233,EPS8L1,0.0003048780487804878,26.0,0.1598700384933255,0.012389662873550995
234,TSPAN19,0.001550849985087981,26.0,0.1603441821346683,0.012442837392321599
235,INKA1,0.0004889791619649439,26.0,0.1608183257760111,0.012496011911092205
236,TRAF6,0.0006019912016670526,26.0,0.1612924694173539,0.012549186429862809
237,RNF138,0.0005125677673730902,26.0,0.1617666130586967,0.012602360948633415
238,PLOD1,0.0004046629624441643,26.0,0.16224075670003948,0.01265553546740402
239,MARS1,0.0002705374330159721,26.0,0.16271490034138228,0.012708709986174625
240,KCNQ2,0.0002086928087980947,25.991645871758706,0.16318889163438718,0.01276188450494523
